,ID,K
0,1,3.0
1,2,2.0
2,3,0.0
3,4,1.0
4,5,3.0
5,6,3.0
6,7,8.0
7,8,8.0
8,9,5.0
9,10,5.0
10,11,7.0
11,12,4.0
12,13,4.0
13,14,7.0
14,15,5.0
15,16,5.0
16,17,1.0
17,18,0.0
18,19,5.0
19,20,0.0
20,21,7.0
21,22,7.0
22,23,3.0
23,24,4.0
24,25,1.0
25,26,7.0
26,27,7.0
27,28,5.0
28,29,7.0
29,30,2.0
30,31,0.0
31,32,0.0
32,33,1.0
33,34,1.0
34,35,6.0
35,36,6.0
36,37,6.0
37,38,5.0
38,39,6.0
39,40,1.0
40,41,4.0
41,42,4.0
42,43,4.0
43,44,3.0
44,45,1.0
45,46,0.0
46,47,0.0
47,48,4.0
48,49,1.0
49,50,4.0
50,51,0.0
51,52,1.0
52,53,8.0
53,54,1.0
54,55,7.0
55,56,8.0
56,57,8.0
57,58,0.0
58,59,0.0
59,60,0.0
60,61,6.0
61,62,6.0
62,63,6.0
63,64,5.0
64,65,1.0
65,66,1.0
66,67,7.0
67,68,4.0
68,69,0.0
69,70,8.0
70,71,6.0
71,72,6.0
72,73,5.0
73,74,4.0
74,75,4.0
75,76,6.0
76,77,6.0
77,78,0.0
78,79,4.0
79,80,1.0
80,81,0.0
81,82,8.0
82,83,8.0
83,84,3.0
84,85,6.0
85,86,2.0
86,87,1.0
87,88,1.0
88,89,7.0
89,90,4.0
90,91,7.0
91,92,8.0
92,93,8.0
93,94,0.0
94,95,8.0
95,96,6.0
96,97,1.0
97,98,5.0
98,99,3.0
99,100,4.0
100,101,5.0
101,102,6.0
102,103,1.0
103,104,1.0
104,105,1.0
105,106,1.0
106,107,4.0
107,108,7.0
108,109,3.0
109,110,3.0
110,111,7.0
111,112,1.0
112,113,4.0
113,114,4.0
114,115,3.0
115,116,4.0
116,117,2.0
117,118,3.0
118,119,0.0
119,120,0.0
120,121,5.0
121,122,5.0
122,123,7.0
123,124,6.0
124,125,4.0
125,126,0.0
126,127,0.0
127,128,0.0
128,129,8.0
129,130,5.0
130,131,5.0
131,132,2.0
132,133,7.0
133,134,5.0
134,135,5.0
135,136,0.0
136,137,4.0
137,138,8.0
138,139,2.0
139,140,4.0
140,141,4.0
141,142,4.0
142,143,4.0
143,144,4.0
144,145,8.0
145,146,8.0
146,147,0.0
147,148,1.0
148,149,7.0
149,150,7.0
150,151,4.0
151,152,4.0
152,153,0.0
153,154,7.0
154,155,7.0
155,156,3.0
156,157,8.0
157,158,4.0
158,159,0.0
159,160,6.0
160,161,4.0
161,162,4.0
162,163,4.0
163,164,4.0
164,165,7.0
165,166,4.0
166,167,0.0
167,168,0.0
168,169,0.0
169,170,4.0
170,171,8.0
171,172,3.0
172,173,8.0
173,174,0.0
174,175,5.0
175,176,3.0
176,177,6.0
177,178,7.0
178,179,8.0
179,180,6.0
180,181,1.0
181,182,0.0
182,183,0.0
183,184,0.0
184,185,0.0
185,186,4.0
186,187,3.0
187,188,6.0
188,189,1.0
189,190,6.0
190,191,5.0
191,192,5.0
192,193,8.0
193,194,8.0
194,195,1.0
195,196,8.0
196,197,5.0
197,198,6.0
198,199,8.0
199,200,0.0
200,201,2.0
201,202,8.0
202,203,2.0
203,204,3.0
204,205,5.0
205,206,3.0
206,207,8.0
207,208,0.0
208,209,1.0
209,210,7.0
210,211,4.0
211,212,0.0
212,213,0.0
213,214,3.0
214,215,5.0
215,216,5.0
216,217,1.0
217,218,2.0
218,219,2.0
219,220,0.0
220,221,3.0
221,222,6.0
222,223,8.0
223,224,4.0
224,225,6.0
225,226,8.0
226,227,7.0
227,228,7.0
228,229,4.0
229,230,4.0
230,231,4.0
231,232,1.0
232,233,4.0
233,234,4.0
234,235,0.0
235,236,4.0
236,237,4.0
237,238,4.0
238,239,4.0
239,240,0.0
240,241,0.0
241,242,0.0
242,243,0.0
243,244,0.0
244,245,3.0
245,246,4.0
246,247,0.0
247,248,0.0
248,249,4.0
249,250,0.0
250,251,3.0
251,252,8.0
252,253,8.0
253,254,0.0
254,255,1.0
255,256,1.0
256,257,7.0
257,258,6.0
258,259,0.0
259,260,8.0
260,261,4.0
261,262,4.0
262,263,4.0
